scenario_key,scenario_label,year,end_height,burn_active,capacity_pct,reward_per_block_atho,annual_issuance_atho,annual_fees_total_atho,annual_burn_atho,annual_miner_fees_atho,annual_miner_revenue_atho,cumulative_emitted_atho,cumulative_burned_atho,circulating_supply_atho,annual_net_change_atho,annual_net_rate_pct,tx_per_block_est,tps_est
no_burn_100,No Burn (100% block capacity),60,15767999,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,28383125.00000000,0E-8,28383125.00000000,82125.00000000,0.29018409,4416,36.80000000
no_burn_100,No Burn (100% block capacity),61,16030799,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,28465250.00000000,0E-8,28465250.00000000,82125.00000000,0.28934446,4416,36.80000000
no_burn_100,No Burn (100% block capacity),62,16293599,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,28547375.00000000,0E-8,28547375.00000000,82125.00000000,0.28850967,4416,36.80000000
no_burn_100,No Burn (100% block capacity),63,16556399,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,28629500.00000000,0E-8,28629500.00000000,82125.00000000,0.28767969,4416,36.80000000
no_burn_100,No Burn (100% block capacity),64,16819199,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,28711625.00000000,0E-8,28711625.00000000,82125.00000000,0.28685447,4416,36.80000000
no_burn_100,No Burn (100% block capacity),65,17081999,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,28793750.00000000,0E-8,28793750.00000000,82125.00000000,0.28603397,4416,36.80000000
no_burn_100,No Burn (100% block capacity),66,17344799,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,28875875.00000000,0E-8,28875875.00000000,82125.00000000,0.28521815,4416,36.80000000
no_burn_100,No Burn (100% block capacity),67,17607599,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,28958000.00000000,0E-8,28958000.00000000,82125.00000000,0.28440697,4416,36.80000000
no_burn_100,No Burn (100% block capacity),68,17870399,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,29040125.00000000,0E-8,29040125.00000000,82125.00000000,0.28360039,4416,36.80000000
no_burn_100,No Burn (100% block capacity),69,18133199,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,29122250.00000000,0E-8,29122250.00000000,82125.00000000,0.28279837,4416,36.80000000
no_burn_100,No Burn (100% block capacity),70,18395999,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,29204375.00000000,0E-8,29204375.00000000,82125.00000000,0.28200088,4416,36.80000000
no_burn_100,No Burn (100% block capacity),71,18658799,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,29286500.00000000,0E-8,29286500.00000000,82125.00000000,0.28120787,4416,36.80000000
no_burn_100,No Burn (100% block capacity),72,18921599,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,29368625.00000000,0E-8,29368625.00000000,82125.00000000,0.28041931,4416,36.80000000
no_burn_100,No Burn (100% block capacity),73,19184399,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,29450750.00000000,0E-8,29450750.00000000,82125.00000000,0.27963515,4416,36.80000000
no_burn_100,No Burn (100% block capacity),74,19447199,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,29532875.00000000,0E-8,29532875.00000000,82125.00000000,0.27885538,4416,36.80000000
no_burn_100,No Burn (100% block capacity),75,19709999,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,29615000.00000000,0E-8,29615000.00000000,82125.00000000,0.27807994,4416,36.80000000
no_burn_100,No Burn (100% block capacity),76,19972799,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,29697125.00000000,0E-8,29697125.00000000,82125.00000000,0.27730880,4416,36.80000000
no_burn_100,No Burn (100% block capacity),77,20235599,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,29779250.00000000,0E-8,29779250.00000000,82125.00000000,0.27654192,4416,36.80000000
no_burn_100,No Burn (100% block capacity),78,20498399,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,29861375.00000000,0E-8,29861375.00000000,82125.00000000,0.27577928,4416,36.80000000
no_burn_100,No Burn (100% block capacity),79,20761199,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,29943500.00000000,0E-8,29943500.00000000,82125.00000000,0.27502083,4416,36.80000000
no_burn_100,No Burn (100% block capacity),80,21023999,1,100.0000,0.25000000,77000.00000000,147825.00000000,0E-8,147825.00000000,224825.00000000,30020500.00000000,0E-8,30020500.00000000,77000.00000000,0.25715097,4416,36.80000000
no_burn_100,No Burn (100% block capacity),81,21286799,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,30086200.00000000,0E-8,30086200.00000000,65700.00000000,0.21885045,4416,36.80000000
no_burn_100,No Burn (100% block capacity),82,21549599,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,30151900.00000000,0E-8,30151900.00000000,65700.00000000,0.21837254,4416,36.80000000
no_burn_100,No Burn (100% block capacity),83,21812399,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,30217600.00000000,0E-8,30217600.00000000,65700.00000000,0.21789672,4416,36.80000000
no_burn_100,No Burn (100% block capacity),84,22075199,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,30283300.00000000,0E-8,30283300.00000000,65700.00000000,0.21742296,4416,36.80000000
no_burn_100,No Burn (100% block capacity),85,22337999,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,30349000.00000000,0E-8,30349000.00000000,65700.00000000,0.21695126,4416,36.80000000
no_burn_100,No Burn (100% block capacity),86,22600799,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,30414700.00000000,0E-8,30414700.00000000,65700.00000000,0.21648160,4416,36.80000000
no_burn_100,No Burn (100% block capacity),87,22863599,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,30480400.00000000,0E-8,30480400.00000000,65700.00000000,0.21601397,4416,36.80000000
no_burn_100,No Burn (100% block capacity),88,23126399,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,30546100.00000000,0E-8,30546100.00000000,65700.00000000,0.21554835,4416,36.80000000
no_burn_100,No Burn (100% block capacity),89,23389199,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,30611800.00000000,0E-8,30611800.00000000,65700.00000000,0.21508474,4416,36.80000000
no_burn_100,No Burn (100% block capacity),90,23651999,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,30677500.00000000,0E-8,30677500.00000000,65700.00000000,0.21462312,4416,36.80000000
no_burn_100,No Burn (100% block capacity),91,23914799,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,30743200.00000000,0E-8,30743200.00000000,65700.00000000,0.21416347,4416,36.80000000
no_burn_100,No Burn (100% block capacity),92,24177599,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,30808900.00000000,0E-8,30808900.00000000,65700.00000000,0.21370580,4416,36.80000000
no_burn_100,No Burn (100% block capacity),93,24440399,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,30874600.00000000,0E-8,30874600.00000000,65700.00000000,0.21325007,4416,36.80000000
no_burn_100,No Burn (100% block capacity),94,24703199,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,30940300.00000000,0E-8,30940300.00000000,65700.00000000,0.21279628,4416,36.80000000
no_burn_100,No Burn (100% block capacity),95,24965999,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,31006000.00000000,0E-8,31006000.00000000,65700.00000000,0.21234442,4416,36.80000000
no_burn_100,No Burn (100% block capacity),96,25228799,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,31071700.00000000,0E-8,31071700.00000000,65700.00000000,0.21189447,4416,36.80000000
no_burn_100,No Burn (100% block capacity),97,25491599,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,31137400.00000000,0E-8,31137400.00000000,65700.00000000,0.21144643,4416,36.80000000
no_burn_100,No Burn (100% block capacity),98,25754399,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,31203100.00000000,0E-8,31203100.00000000,65700.00000000,0.21100028,4416,36.80000000
no_burn_100,No Burn (100% block capacity),99,26017199,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,31268800.00000000,0E-8,31268800.00000000,65700.00000000,0.21055600,4416,36.80000000
no_burn_100,No Burn (100% block capacity),100,26279999,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,31334500.00000000,0E-8,31334500.00000000,65700.00000000,0.21011360,4416,36.80000000
no_burn_100,No Burn (100% block capacity),101,26542799,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,31400200.00000000,0E-8,31400200.00000000,65700.00000000,0.20967304,4416,36.80000000
